Team ID	Team Name	Deck 1	Deck 2	Deck 3	Deck 4
19900	Coin-Innervate-Yeti	AAECAf0GBtsGigfJwgKX0wKd4gLb6QIMigH3BLYH4QfexALnywLy0AL40AKI0gKL4QL85QLo5wIA	AAECAf0EBO4CuwPrugKi0wINcZ4BuwKVA8sE5gSWBewF17YCh70CwcECmMQCj9MCAA==	AAECAZ8FAqcFucECDsUD2wOvB6cIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gLW5QIA	AAECAa0GAqEG1goO+ALlBI0I0QryDIK1ArW7Arq7AvC7AtHBAtjBAsrDAsvmAvzqAgA=
20471	I'VE GOT A HUGE GUN	AAECAf0GBMnCApfTAp3iAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAf0EBsABqwS/CKO2Atm7AqLTAgxxuwKVA+YElgXsBde2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAZ8FAsUDucECDtsDpwXyBacIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gLW5QIA	AAECAa0GBKEGpQnWCsrDAg34AuUEjQjRCvIMgrUCtbsCursC8LsC0cEC2MECy+YC/OoCAA==
20331	Community Champs	AAECAf0GCPIF980Cl9MC5tMCieICnOIC6OcCw+oCC/cEmge2B8kHxAj6DN7EAvLQAvjQAovhAvzlAgA=	AAECAf0EBLgI0MECudECluQCDYoBwAGcAskDqwTLBOYE+AeSrAKBsgLBwQKYxALaxQIA	AAECAaoIEO4B+QOBBPUE4AbwB5MJ+6oC5rsClL0C9r0Cx8ECm8sCws4C688C3+kCB/4F+qoCoLYCh7wCz7wC0bwC+b8CAA==	AAECAa0GCKIJ1QqoqwKFuALovwLCzgLo0AKQ0wILlwLTCtcKoawCt7sC6r8C0cEC5cwC5swCtM4C4+kCAA==
20122	Da Murloc Tinyfins	AAECAR8EgAfFCOnSAobTAg2oArUDhwTJBK4GlwjbCf4M+LEC3dIC39IC49IC6uMCAA==	AAECAf0EBMMB7gKrBKLTAg1xuwKVA+YElgXsBaO2Ate2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAf0GBPIFycICl9MC2+kCDZME9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA	AAECAa0GFggeJfgCtwT7BPEFgAbJBp4JpQniDPcMm8ICtMQCvdMCg9QCv+UCjeYCm+cCpOcC4+kCBNEK0wrXCvIMAA==
20368	5050ToWin	AAECAf0GBooB8gXECMnCApfTAtvpAgyTBPcEtgfhB97EAufLAvLQAvjQAojSAovhAvzlAujnAgA=	AAECAf0EBKsEvwjrugKi0wINcbsClQPmBJYF7AXyBaO2Ate2Aoe9AsHBApjEAo/TAgA=	AAECAR8EgAeoqwKFuAKG0wINjQGoArUDyQSXCMUI2wn+DPixAt3SAt/SAuPSAuHjAgA=	AAECAaIHAobCAs/hAg7EAZwC7QKfA4gF1AX4B4YJ9bsC+L0Cl8EC/MEC68ICxscCAA==
18856	Fighting Irish	AAECAf0GBpME4KwCycICl9MCneIC2+kCDPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZICApS9ApnTAg5AX/IF5Ai+rgK0uwLLvALPvALdvgKgzQKHzgKY0gKe0gLb0wIA	AAECAaToAgLyBbnBAg7FA9sDpwXZB6cIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gIA	AAECAaIHBsgDzQObBfW7AoDTArvvAgy0AcQB7QLLA/gHhgmprwK5vwKpzQKxzgLl0QLb4wIA
20667	Clout gang	AAECAZICBMQGrqsClL0CmdMCDUBf5Ai0uwLLvALdvgKgzQKHzgKU0gKY0gKe0gLb0wKE5gIA	AAECAa0GAooH0OcCDgiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC/OoC1+sCAA==	AAECAf0GBOCsApfTAp3iAtvpAg2KAZME9wS2B40I3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAaToAgb0BbnBAoPHAtblArXmArfnAgynBfUF2QexCNmuAruvAv+vArjHAtnHAuPLAvjSAonmAgA=
19835	Go Pilots!	AAECAf0EDMUE7Af4B+CsArmyAsHBAsrBAt/EApbHAqDOApvTAvLTAglNigHAAckDo7YC1eEC1+ECluQC6uYCAA==	AAECAa0GBPIFigeNCNDnAg0I8gyCtQK6uwLwuwLZwQLKwwKZyALKywLOzALL5gL86gLX6wIA	AAECAf0GBpME2wbJwgKX0wKd4gLb6QIM9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA	AAECAaToAgK5wQKvwgIOxQPbA6cF8gWvB6cI06oC2a4C07wCs8ECncICscIC48sC+NICAA==
20661	"Wife Castle, Away!"	AAECAf0ECMUE4KwCubICwcECysECyccCoM4Cm9MCC02KAcAByQPsB9/EApbHAtXhAtfhApbkAurmAgA=	AAECAf0GBPIFigfZB5fTAg0wuwP3BM4Hwgj2CLSsAry2Ase7Asm7AvfNAvHQAvLQAgA=	AAECAR8GhwSAB6irAoW4AobTAvLqAgyNAagCtQPJBJcI2wn+DPixAt3SAt/SAuPSAuHjAgA=	AAECAaToAgLFA7nBAg7bA6cFpwixCNOqAtmuAtO8ArPBAp3CArHCAojHAuPLAvjSAtblAgA=
19890	Misplay	AAECAf0GDIoBxAjMCOCsAqG3ApvCAt7EAt/EAqDOApfTAtjnAtvpAgnbBrYH58sC8tAC+NACiNIC/OUC6uYC6OcCAA==	AAECAZICBK6rApS9ApnTAtvTAg1AX8QG5Ai0uwLLvALdvgKgzQKHzgKU0gKY0gKe0gKE5gIA	AAECAf0ECsUE7AfgrAK5sgLBwQLKwQLKwwKgzgKb0wLy0wIKTYoBwAHJA6O2ApbHAtXhAtfhApbkAurmAgA=	AAECAaToAgTjBeO+ArnBAtblAg3FA9sD8gWvB6cI06oC2a4C07wCs8ECncICscIC48sC+NICAA==
20268	IWishIWasAtSugrloaf	AAECAf0GBMnCApfTAoniAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZ8FBtwDqsECucECg8cCieYCt+cCDKcF9AX1BdkHsQi7rwK4xwLZxwLjywL40gLR4QLW5QIA	AAECAa0GBMrDAsLOAtDnAvzqAg0IjQjyDIK1Arq7AvC7AtnBAp/CApnIAsrLAs7MAsvmAtfrAgA=	AAECAf0EBMABvwijtgKi0wINcbsClQOrBOYElgXsBde2Auu6Aoe9AsHBApjEAo/TAgA=
20384	Coyotes	AAECAaoIBuUH3boClL0CkcECtssC688CDIEE8AeTCfqqAvuqAqC2Aoe8AtG8Ava9Avm/AuvCAt/pAgA=	AAECAR8GgAeoqwKFuALp0gKG0wLy6gIMjQGoArUDhwTJBNsJ/gz4sQLd0gLf0gLj0gLh4wIA	AAECAZICBPIFrqsClL0CmdMCDUBf5Ai0uwLLvALdvgKgzQKHzgKU0gKY0gKe0gLb0wKE5gIA	AAECAf0EBMkD4KwCysECm9MCDU2KAcABqwTLBJYF+wy/wQLBwQKYxALIxwKW5ALN6wIA
20465	Sleepy Dragons	AAECAf0GBsQIzAjgrAKbwgKX0wLY5wIM8gXbBrYH4QfexALnywLy0AL40AKI0gL85QLq5gLo5wIA	AAECAa0GAuG/AtDnAg4IjQjyDIK1Arq7AvC7AtnBAsrDApnIAsrLAs7MAsvmAvzqAtfrAgA=	AAECAZ8FBMUD8gWKB7nBAg3bA6cFrwenCLEI06oC2a4C07wCs8ECncICscIC48sC+NICAA==	AAECAf0EBsABqwS/COu6Atm7AqLTAgxxuwKVA+YElgXsBaO2Ate2Aoe9AsHBApjEAo/TAgA=
18920	Vert&Or	AAECAf0ECMABxQSjtgKhtwLBwQKgzgKb0wKj6wILTYoByQPsB/sMysMC38QClscC1eEC1+ECluQCAA==	AAECAaToAgTFA9wDpwW5wQIN2wPyBacIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gLW5QIA	AAECAZ/HAgSIrwLhvwLZwQLQ5wINCI0I8gyCtQK6uwLwuwLKwwKZyALKywLOzALL5gL86gLX6wIA	AAECAf0GCIoB8gXECMwI4KwCoM4Cl9MC2OcCC9sGtgebwgLexALnywLy0AL40AKI0gL85QLq5gLo5wIA
